bearID,Seal,Beluga,Walrus,Bodycond,Sex,Ageclass,Year,Era,Region,Lat,Long
BEAR0539,52.76,39.98,7.26,74.52,F,Adult,2007,Mid,West,70.65,-128.09
BEAR0540,80.3,12.62,7.09,70.24,M,Adult,2007,Mid,West,70.06,-126.83
BEAR0544,31.3,61.55,7.15,78.69,M,Subadult,2006,Mid,Central,71.87,-125.25
BEAR0545,82.08,2.75,15.17,72.86,M,Adult,2006,Mid,Central,71.48,-124.59
BEAR0548,30.91,69.09,0,87.86,M,Subadult,2009,Late,Central,71.37,-120.75
BEAR0550,82.21,0,17.79,67.57,M,Adult,2009,Late,Central,69.85,-122.72
BEAR0557,78.22,20.93,0.85,92.23,M,Adult,2009,Late,Central,74.38,-112.93
BEAR0558,51.02,48.98,0,86.69,M,Adult,2009,Late,Central,74.07,-111.6
BEAR0559,29.68,69.71,0.62,86.26,F,Adult,2006,Mid,Central,71.98,-125.32
BEAR0560,89.32,4.03,6.65,65.39,M,Adult,2009,Late,North,74.84,-108.44
BEAR0563,34.56,65.44,0,80.32,F,Adult,2009,Late,North,74.4,-107.21
BEAR0564,57.92,39.51,2.56,67.01,F,Adult,2009,Late,North,74.63,-108.04
BEAR0565,44.57,55.43,0,61.42,F,Adult,2009,Late,North,74.2,-111.9
BEAR0567,44.49,55.51,0,76.97,M,Adult,2009,Late,North,74.89,-107.08
BEAR0571,93.05,0,6.95,74.66,F,Adult,2009,Late,North,72.98,-113.35
BEAR0572,29.36,70.64,0,90.73,F,Subadult,2009,Late,North,74.64,-115.86
BEAR0574,70.56,29.44,0,67.22,M,Subadult,2007,Mid,North,73.51,-108.36
BEAR0575,63.23,36.34,0.43,74.49,M,Cub,2007,Mid,North,76,-118.62
BEAR0577,78.72,13.15,1.79,69.17,F,Adult,2007,Mid,North,74.7,-109.22
BEAR0578,71.36,26.42,2.21,70.21,M,Adult,2008,Late,North,75.23,-117.61
BEAR0579,54.34,45.66,0,72.39,M,Subadult,2007,Mid,North,73.52,-111.33
BEAR0581,80.91,17.2,1.88,73.44,F,Adult,2007,Mid,North,73.51,-108.36
BEAR0582,90.56,0,9.45,73.75,M,Adult,2007,Mid,North,74.96,-115.04
BEAR0584,96.74,0,3.26,80.63,M,Adult,2008,Late,North,75.23,-117.62
BEAR0585,28.67,71.33,0,81.79,M,Adult,2008,Late,North,75.48,-117.22
BEAR0586,74.36,25.27,0.39,71.01,M,Adult,2008,Late,North,74.41,-112.52
BEAR0587,70,30.01,0,57.71,M,Adult,2008,Late,North,74.42,-111.94
